,anger,disgust,fear,joy,sadness,file_mp3
0,0.8,0.3,0.2,0.0,0.3,f1iyuji29ts0.mp3
1,0.5,0.1,0.1,0.4,0.2,nm9d8bmxm4kb.mp3
2,1.0,0.0,0.1,0.0,0.1,zhxg2wg2o61r.mp3
3,0.2,0.0,0.4,0.3,0.2,5enurh7my2gu.mp3
4,0.8,0.3,0.2,0.0,0.4,kodfsf56refs.mp3
5,0.6,0.4,0.0,0.5,0.1,dm3gwz5bwjaa.mp3
6,1.0,0.1,0.0,0.0,0.0,q1o8on6ynmki.mp3
7,0.7,0.0,0.2,0.0,0.5,o4p8ndl1xkal.mp3
8,1.0,0.5,0.1,0.0,0.1,7znhc6zu6okm.mp3
9,0.0,0.4,0.4,0.9,0.0,ew6jyj1sc2eg.mp3
10,0.7,0.0,0.2,0.2,0.1,6vq14xbnwo6o.mp3
11,0.9,0.4,0.0,0.0,0.5,6op6rs7wwbpn.mp3
12,0.5,0.0,0.0,0.5,0.1,nqeqt7ac04n8.mp3
13,0.7,0.0,0.5,0.0,0.5,p8o0wfj8hupo.mp3
14,0.7,0.0,0.0,0.1,0.1,67stgqc2hnt5.mp3
15,0.2,0.0,0.0,1.0,0.0,ylfcr2qj7sis.mp3
16,0.5,0.5,0.7,0.0,0.0,gfbnjf59vhhy.mp3
17,1.0,1.0,0.5,0.0,0.1,tu6etm4oaans.mp3
18,0.6,0.3,0.4,0.1,0.2,b4mix68t6rjw.mp3
19,0.5,0.1,0.6,0.2,0.1,tbz7fz0iy92b.mp3
20,0.2,0.0,0.1,0.7,0.0,7apj007l7t32.mp3
21,1.0,0.5,0.5,0.0,0.0,pcl0yutvepdc.mp3
22,0.2,0.0,0.1,1.0,0.0,i44mvr3hwfzo.mp3
23,0.6,0.2,0.0,0.2,0.4,5x4bn0pmdi94.mp3
24,1.0,0.2,1.0,0.1,0.1,0gappwcngxn8.mp3
25,0.5,0.0,0.0,0.7,0.0,69dtt92jjfmr.mp3
26,0.6,0.4,0.2,0.0,0.3,g9u4qaimjqqd.mp3
27,0.8,0.1,0.2,0.0,0.3,iqyev64f8zrd.mp3
28,0.5,0.0,0.0,0.5,0.0,pjwgx6tl2sn7.mp3
29,0.5,0.1,0.3,0.1,0.1,9hkn2p50tv77.mp3
30,0.6,0.1,0.1,0.4,0.2,hdungashgsqe.mp3
31,0.5,0.7,0.4,0.0,0.2,jh5p4agiwyx0.mp3
32,0.9,0.9,0.3,0.0,0.0,8rzcgd0ofld2.mp3
33,0.0,0.0,0.1,0.8,0.2,durozyu8yuu3.mp3
34,0.6,0.5,1.0,0.0,0.0,l0xbf36tozdt.mp3
35,0.6,0.1,0.3,0.1,0.5,z00f81zu63up.mp3
36,0.2,0.2,0.2,0.2,0.5,xrabd0mrq61r.mp3
37,1.0,0.5,0.1,0.0,0.1,uo6icumrb4o0.mp3
38,0.6,0.5,0.2,0.1,0.6,r7ene4pog79e.mp3
39,1.0,0.5,0.5,0.0,0.1,965v22mnb6yt.mp3
40,0.6,0.0,0.0,0.5,0.0,q7daab9d57tv.mp3
41,0.2,0.1,0.1,0.2,0.5,hjcs9fgzvcvo.mp3
42,0.5,0.1,0.2,0.8,0.2,hvya7ol8uv1y.mp3
43,0.7,0.5,0.7,0.0,0.4,5bbtsk6bm7zv.mp3
44,0.1,0.0,0.1,1.0,0.0,t6wfo9u54nkt.mp3
45,0.2,0.2,0.2,0.2,0.5,5q78ykd7qtxt.mp3
46,0.1,0.1,0.1,0.9,0.3,1vlhiwkk1yde.mp3
47,0.6,0.1,0.0,0.5,0.3,lr0g3xh9ov95.mp3
48,0.4,0.0,0.2,0.8,0.0,v11czt3s460l.mp3
49,0.9,0.4,0.1,0.0,0.0,jr6iosy177yw.mp3
50,0.1,0.0,0.1,0.6,0.2,xzt85skv5stt.mp3
51,1.0,0.5,0.0,0.0,0.0,x7h0tjnrqy2g.mp3
52,0.5,0.0,0.0,0.7,0.3,ukbobls0yms9.mp3
53,0.6,0.2,0.4,0.0,0.3,friywoabgy94.mp3
54,0.5,0.0,0.0,0.7,0.0,artop3whu9qs.mp3
55,0.7,0.3,0.2,0.0,0.3,ouovs29vf8uw.mp3
56,0.0,0.0,0.0,1.0,0.0,03fej8b54d2u.mp3
57,0.1,0.0,0.4,0.0,0.2,h6eatrgzpplq.mp3
58,0.2,0.0,0.1,0.7,0.0,jvkvrtjcd4bx.mp3
59,0.7,0.1,0.2,0.0,0.4,udgjwu8it42c.mp3
60,1.0,0.5,0.2,0.0,0.4,kw8elwdvu9w8.mp3
61,0.2,0.2,0.5,0.0,0.0,42clmlc3kdrd.mp3
62,0.1,0.0,0.2,0.8,0.4,nago35k6nrnn.mp3
63,0.7,0.0,0.1,0.5,0.0,qw4e732zv9mn.mp3
64,0.1,0.4,0.8,0.1,0.1,ztiv18k0pnmb.mp3
65,0.6,0.0,0.7,0.0,0.0,yywgxot52vyl.mp3
66,0.6,0.2,0.4,0.0,0.3,4127owbcvuut.mp3
67,0.4,0.3,0.3,0.0,0.1,rko2dxbw0ehl.mp3
68,0.8,0.3,0.1,0.1,0.2,j45yhlm12o06.mp3
69,0.6,0.1,0.2,0.1,0.4,4a3hufuhkf8u.mp3
70,0.8,0.3,0.4,0.1,0.3,6ogm3vyiopyn.mp3
71,0.3,0.5,0.8,0.0,0.3,08ue46ry2ulg.mp3
72,0.9,0.3,0.0,0.0,0.3,3r5w5mh2q6yf.mp3
73,0.9,0.2,0.1,0.0,0.3,enyisasg5hro.mp3
74,1.0,0.0,0.0,0.0,0.2,vqyzcum33po1.mp3
75,1.0,0.1,0.4,0.0,0.1,seyqndwhtafs.mp3
76,0.7,0.5,0.1,0.3,0.0,j1b4prblif5j.mp3
77,0.6,0.0,0.7,0.1,0.1,ezf10g6rp457.mp3
78,0.9,0.3,0.1,0.0,0.2,sm2waztgbgra.mp3
79,0.5,0.2,0.1,0.5,0.0,6d1x27zoljdt.mp3
80,0.7,0.1,0.2,0.1,0.5,yf28pf1xsbsd.mp3
81,0.6,0.2,0.5,0.0,0.3,r3ansgujzfcd.mp3
82,0.5,0.1,0.1,0.9,0.3,lr2gs1p4iax6.mp3
83,1.0,0.0,0.1,0.0,0.1,uwc6n40peiwl.mp3
84,0.1,0.0,0.0,0.6,0.1,82jihelc6o4r.mp3
85,0.7,0.3,0.4,0.0,0.2,m1809mufu2sy.mp3
86,1.0,0.5,0.2,0.0,0.2,j2s3cvq5c6t3.mp3
87,1.0,0.1,0.5,0.0,0.1,xtmq0tbxdzv4.mp3
88,0.9,0.9,0.1,0.0,0.2,ng4rlyy4jzoo.mp3
89,0.5,0.3,0.2,0.0,0.5,pim6iouuil37.mp3
90,0.1,0.0,0.1,0.5,0.2,718khht8g6au.mp3
91,0.7,0.6,0.1,0.0,0.1,wbppe0rpgwt2.mp3
92,0.9,0.7,0.5,0.0,0.1,i5accyf6clc2.mp3
93,0.9,0.0,0.0,0.4,0.0,pytaxxh3vm4s.mp3
94,0.6,0.5,0.0,0.2,0.1,8hi89969ul3v.mp3
95,0.7,0.3,0.1,0.0,0.4,846zmhjafyr8.mp3
96,0.8,0.0,0.1,0.0,0.5,cylddz7u78wo.mp3
97,0.0,0.0,0.4,0.7,0.1,vi9hjt5r6uro.mp3
98,0.8,0.5,0.2,0.1,0.4,huw09ohbat93.mp3
99,0.7,0.7,0.2,0.0,0.1,ho9c8lbq932s.mp3
100,0.7,0.7,0.5,0.0,0.1,53n9q3yi68b6.mp3
101,0.5,0.0,0.1,1.0,0.0,ek3gl2fd6ffz.mp3
102,0.6,0.2,0.0,0.5,0.1,pu046k1hx3in.mp3
103,0.9,0.9,0.2,0.0,0.0,v5odpu6znevo.mp3
104,0.9,0.0,0.5,0.0,0.2,bj4o263lqt8m.mp3
105,1.0,0.3,0.4,0.0,0.0,04dxq6tqpvn8.mp3
106,0.1,0.2,1.0,0.0,0.1,0dofjeho57m2.mp3
107,0.8,0.2,0.4,0.0,0.5,rjsajgupmx4m.mp3
108,0.5,0.1,0.1,0.3,0.2,1b5y1vas2336.mp3
109,0.5,0.4,0.4,0.1,0.2,3r233jp8vt2f.mp3
110,0.8,1.0,0.5,0.0,0.0,8e3dokovf8d7.mp3
111,0.1,0.0,0.1,0.1,0.1,rbl7esfa7p9w.mp3
112,0.2,0.1,0.3,0.2,0.2,hefr943k420w.mp3
113,0.6,0.0,0.4,0.0,0.4,s5uciu3bnmir.mp3
