,anger,disgust,fear,joy,sadness,file_mp3
0,0.9,0.1,0.4,0.0,0.4,w5yzrkvofapn.mp3
1,0.8,0.6,0.3,0.1,0.2,mdzy0mztt6gm.mp3
2,0.7,0.0,0.1,0.2,0.1,m04ocjhrmv71.mp3
3,0.6,0.1,0.0,0.6,0.1,cwrt6sbjzfzh.mp3
4,0.7,0.0,0.2,0.2,0.1,6vq14xbnwo6o.mp3
5,0.7,0.4,0.0,0.1,0.0,do03kvk35knh.mp3
6,0.5,0.0,0.2,0.5,0.0,1rdshk1lxlgs.mp3
7,0.7,0.5,0.0,0.1,0.0,zt1lwzwfkv3i.mp3
8,0.6,0.0,0.1,0.8,0.1,4em9uag0098q.mp3
9,0.6,0.4,0.0,0.5,0.1,dm3gwz5bwjaa.mp3
10,1.0,0.3,0.1,0.0,0.0,30edqaedfvmf.mp3
11,0.6,0.1,0.0,0.5,0.0,k15uq2iuybhc.mp3
12,0.6,0.0,0.1,0.1,0.0,rea2fnu6ulcy.mp3
13,0.4,0.1,0.0,0.4,0.3,lvev4mqjfwv8.mp3
14,1.0,0.5,0.1,0.0,0.1,7znhc6zu6okm.mp3
15,0.7,0.0,0.8,0.0,0.2,u8fhuie9ov05.mp3
16,0.5,0.0,0.0,0.9,0.0,ukflndddjl22.mp3
17,0.7,0.3,0.1,0.5,0.2,m1yxpxg3j5t7.mp3
18,0.6,0.0,0.0,0.3,0.1,uuih0e2tvrx9.mp3
19,0.6,0.2,0.1,0.0,0.1,wgrjrxf7eyiq.mp3
20,0.7,0.0,0.3,0.1,0.0,vr5o5489m7qc.mp3
21,0.9,0.0,0.2,0.1,0.3,6ou91vlnpb76.mp3
22,0.4,0.0,0.0,1.0,0.1,0y0nw2oy1lel.mp3
23,0.6,0.5,0.3,0.3,0.0,uabyi6vrjc6s.mp3
24,0.7,0.2,0.3,0.3,0.4,se1dyij511tq.mp3
25,0.3,0.2,0.1,0.6,0.0,0c9dfca20tfl.mp3
26,0.6,0.1,0.1,0.8,0.1,aodefaz9trux.mp3
27,0.8,0.1,0.2,0.2,0.3,hx4dqp1lxdry.mp3
28,0.6,0.3,0.3,0.1,0.4,hgg4xmu03oby.mp3
29,0.8,0.3,0.2,0.0,0.0,fbcbbmz0f1sq.mp3
30,0.3,0.3,0.2,0.4,0.2,5hjl5plk1l69.mp3
31,0.5,0.1,0.2,0.6,0.1,tecdnflx5gae.mp3
32,0.9,0.2,0.1,0.6,0.1,obrgz73d39yx.mp3
33,1.0,0.6,0.5,0.0,0.1,qfn19c8gp8ju.mp3
34,0.6,0.1,0.1,0.8,0.1,4rqgqy3il7zx.mp3
35,0.6,0.2,0.4,0.4,0.2,0dfzkm1myaxm.mp3
36,0.7,0.4,0.2,0.3,0.3,ziu5808g09bv.mp3
37,1.0,0.5,0.5,0.0,0.1,rhtbbdifqof5.mp3
38,0.8,0.2,0.1,0.4,0.1,nkahkgoohtj3.mp3
39,0.7,0.8,0.2,0.1,0.3,edty7aqa549o.mp3
40,0.6,0.1,0.1,0.5,0.1,s3c4rp43fire.mp3
41,0.5,0.0,0.0,0.8,0.3,v9ovuuaqn17y.mp3
42,0.4,0.4,0.4,0.1,0.4,8brbxiyqr7ba.mp3
43,0.7,0.3,0.1,0.5,0.1,4mcbtecmmo4s.mp3
44,0.6,0.1,0.1,0.8,0.1,q5buluqv9hqv.mp3
45,0.8,0.2,0.1,0.2,0.1,0uhr8g77c3v5.mp3
46,0.8,0.1,0.2,0.0,0.3,iqyev64f8zrd.mp3
47,0.6,0.1,0.1,0.5,0.1,1o9cdmmbakk4.mp3
48,0.6,0.1,0.1,0.7,0.0,5qyjcqxloppf.mp3
49,0.6,0.1,0.4,0.2,0.1,hh04z7m8fgao.mp3
50,0.5,0.5,0.5,0.0,0.5,uijuc2nz24u0.mp3
51,0.7,0.2,0.3,0.2,0.1,85zpyjpip2bi.mp3
52,0.5,0.1,0.2,0.8,0.2,hvya7ol8uv1y.mp3
53,0.6,0.1,0.1,0.4,0.4,5et3p9go6j1v.mp3
54,1.0,0.0,0.1,0.0,0.1,uwc6n40peiwl.mp3
55,0.8,0.5,0.3,0.1,0.2,akrbh64ykoi1.mp3
56,0.1,0.1,0.3,0.5,0.3,bu5q0aus3mq9.mp3
57,0.6,0.1,0.2,0.4,0.1,eeq28mec2ufb.mp3
58,0.5,0.0,1.0,0.0,0.0,otzy5j6ih4a7.mp3
59,0.9,0.1,0.5,0.0,0.0,erpp92p705ma.mp3
60,1.0,0.6,0.5,0.0,0.0,pldkarfa4777.mp3
61,0.6,0.3,0.3,0.0,0.5,grugufpe1jae.mp3
62,0.8,0.1,0.1,0.0,0.0,h8xrcthqxitz.mp3
63,0.3,0.1,0.5,0.1,0.2,xrm6ghoyv4b7.mp3
64,0.4,0.0,0.0,1.0,0.0,zwbi7jy8quq0.mp3
65,0.8,0.2,0.0,0.5,0.1,5xjdsogehltk.mp3
66,0.3,0.0,0.0,0.9,0.2,dloeb5m2f5da.mp3
67,0.7,0.2,0.3,0.5,0.1,6n2jysced1c1.mp3
68,0.5,0.1,0.1,0.5,0.1,kx9068dvm552.mp3
69,0.6,0.1,0.2,0.4,0.4,gdmfn21bc5u3.mp3
70,0.9,0.2,0.0,0.0,0.5,baronjzgry91.mp3
71,0.2,0.2,0.6,0.1,0.2,iyp2sxgarf7a.mp3
72,0.0,0.2,0.8,0.0,0.1,f9flvbpu4qx0.mp3
73,0.1,0.2,0.4,0.6,0.2,il0a57dbbc8x.mp3
74,0.1,0.0,0.0,0.7,0.1,ggj12lkmtg7o.mp3
75,0.7,0.4,0.3,0.0,0.1,s5cuz63rj48f.mp3
76,0.5,0.0,0.0,0.5,0.0,boqqxnh7zc9m.mp3
77,0.9,0.1,0.4,0.0,0.1,tzi1kb3wbpjm.mp3
78,1.0,0.0,0.1,0.0,0.1,zhxg2wg2o61r.mp3
79,0.8,0.3,0.1,0.0,0.6,9xtl1459qoko.mp3
80,0.6,0.2,0.3,0.3,0.4,v2iwcbp94w5b.mp3
81,0.7,0.0,0.0,0.5,0.0,qoax5tiz5q0g.mp3
82,0.8,0.5,0.2,0.0,0.0,32qucdibzxwl.mp3
83,0.5,0.0,0.0,0.5,0.0,3r8c1ekdavbh.mp3
84,0.1,0.4,0.1,0.5,0.4,ij67x9otxd5h.mp3
85,1.0,0.1,0.0,0.0,0.0,q1o8on6ynmki.mp3
86,0.5,0.0,1.0,0.0,0.0,zps0yv5b4mbo.mp3
87,0.8,0.1,0.5,0.0,0.0,ir8s5z9t97yr.mp3
88,0.5,0.0,0.0,0.9,0.1,enmabtucx3vk.mp3
89,0.6,0.1,0.2,0.4,0.2,exl55o7mqqbi.mp3
90,0.6,0.2,0.3,0.4,0.1,67uvhwr8tmu8.mp3
91,0.9,0.0,0.0,0.2,0.2,tv07wc9wk5r3.mp3
92,0.6,0.3,0.2,0.1,0.2,8baivrt46l3f.mp3
93,0.6,0.2,0.3,0.4,0.1,ymo0l0srnq0l.mp3
